relation,domains,ranges
composer,"{'http://dbpedia.org/ontology/CollectionOfValuables', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/LineOfFashion', 'http://dbpedia.org/ontology/TelevisionEpisode', 'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/RadioProgram', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Document', 'http://dbpedia.org/ontology/Database', 'http://dbpedia.org/ontology/Software', 'http://dbpedia.org/ontology/MusicalWork', 'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/TelevisionSeason', 'http://dbpedia.org/ontology/Artwork'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
nonFictionSubject,"{'http://dbpedia.org/ontology/Play', 'http://dbpedia.org/ontology/Poem', 'http://dbpedia.org/ontology/PeriodicalLiterature', 'http://dbpedia.org/ontology/Article', 'http://dbpedia.org/ontology/Annotation', 'http://dbpedia.org/ontology/Drama', 'http://dbpedia.org/ontology/Resume', 'http://dbpedia.org/ontology/StatedResolution', 'http://dbpedia.org/ontology/Law', 'http://dbpedia.org/ontology/Treaty', 'http://dbpedia.org/ontology/Book', 'http://dbpedia.org/ontology/Quote', 'http://dbpedia.org/ontology/Letter', 'http://dbpedia.org/ontology/MultiVolumePublication', 'http://dbpedia.org/ontology/Comic'}",set()
goldMedalist,"{'http://dbpedia.org/ontology/InternationalFootballLeagueEvent', 'http://dbpedia.org/ontology/MixedMartialArtsEvent', 'http://dbpedia.org/ontology/CyclingCompetition', 'http://dbpedia.org/ontology/NationalFootballLeagueEvent', 'http://dbpedia.org/ontology/WrestlingEvent', 'http://dbpedia.org/ontology/GrandPrix', 'http://dbpedia.org/ontology/FootballMatch', 'http://dbpedia.org/ontology/Race', 'http://dbpedia.org/ontology/Tournament', 'http://dbpedia.org/ontology/Olympics'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
colour,set(),set()
almaMater,"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}","{'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/College', 'http://dbpedia.org/ontology/University', 'http://dbpedia.org/ontology/Library'}"
foundationPlace,"{'http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/SportsClub', 'http://dbpedia.org/ontology/Non-ProfitOrganisation', 'http://dbpedia.org/ontology/EmployersOrganisation', 'http://dbpedia.org/ontology/GeopoliticalOrganisation', 'http://dbpedia.org/ontology/TermOfOffice', 'http://dbpedia.org/ontology/Parliament', 'http://dbpedia.org/ontology/TradeUnion', 'http://dbpedia.org/ontology/SambaSchool', 'http://dbpedia.org/ontology/InternationalOrganisation', 'http://dbpedia.org/ontology/Legislature', 'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/EducationalInstitution', 'http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/ReligiousOrganisation', 'http://dbpedia.org/ontology/Broadcaster', 'http://dbpedia.org/ontology/Group'}","{'http://dbpedia.org/ontology/CapitalOfRegion', 'http://dbpedia.org/ontology/Capital'}"
currentPartner,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
album,set(),set()
narrator,"{'http://dbpedia.org/ontology/CollectionOfValuables', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/LineOfFashion', 'http://dbpedia.org/ontology/TelevisionEpisode', 'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/RadioProgram', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Document', 'http://dbpedia.org/ontology/Database', 'http://dbpedia.org/ontology/Software', 'http://dbpedia.org/ontology/MusicalWork', 'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/TelevisionSeason', 'http://dbpedia.org/ontology/Artwork'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
routeJunction,"{'http://dbpedia.org/ontology/RailwayTunnel', 'http://dbpedia.org/ontology/WaterwayTunnel', 'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/Bridge', 'http://dbpedia.org/ontology/RailwayLine', 'http://dbpedia.org/ontology/RoadTunnel', 'http://dbpedia.org/ontology/RoadJunction'}","{'http://dbpedia.org/ontology/MetroStation', 'http://dbpedia.org/ontology/RouteStop', 'http://dbpedia.org/ontology/TramStation', 'http://dbpedia.org/ontology/RailwayStation'}"
growingGrape,set(),set()
field,"{'http://dbpedia.org/ontology/Sculptor', 'http://dbpedia.org/ontology/Photographer', 'http://dbpedia.org/ontology/Humorist', 'http://dbpedia.org/ontology/Painter', 'http://dbpedia.org/ontology/ComicsCreator', 'http://dbpedia.org/ontology/Dancer', 'http://dbpedia.org/ontology/Comedian', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/FashionDesigner', 'http://dbpedia.org/ontology/Actor'}",set()
nearestCity,"{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}","{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}"
channel,set(),"{'http://dbpedia.org/ontology/BroadcastNetwork', 'http://dbpedia.org/ontology/TelevisionStation', 'http://dbpedia.org/ontology/RadioStation'}"
aircraftFighter,set(),"{'http://dbpedia.org/ontology/On-SiteTransportation', 'http://dbpedia.org/ontology/Tram', 'http://dbpedia.org/ontology/SpaceShuttle', 'http://dbpedia.org/ontology/Spacecraft', 'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/TrainCarriage', 'http://dbpedia.org/ontology/Train', 'http://dbpedia.org/ontology/Rocket', 'http://dbpedia.org/ontology/MilitaryVehicle', 'http://dbpedia.org/ontology/Motorcycle', 'http://dbpedia.org/ontology/Ship', 'http://dbpedia.org/ontology/Locomotive', 'http://dbpedia.org/ontology/Aircraft', 'http://dbpedia.org/ontology/SpaceStation'}"
broadcastNetwork,"{'http://dbpedia.org/ontology/BroadcastNetwork', 'http://dbpedia.org/ontology/TelevisionStation', 'http://dbpedia.org/ontology/RadioStation'}",set()
damsire,"{'http://dbpedia.org/ontology/Reptile', 'http://dbpedia.org/ontology/Fish', 'http://dbpedia.org/ontology/Crustacean', 'http://dbpedia.org/ontology/Mammal', 'http://dbpedia.org/ontology/Bird', 'http://dbpedia.org/ontology/Mollusca', 'http://dbpedia.org/ontology/Arachnid', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Amphibian', 'http://dbpedia.org/ontology/Insect'}","{'http://dbpedia.org/ontology/Reptile', 'http://dbpedia.org/ontology/Fish', 'http://dbpedia.org/ontology/Crustacean', 'http://dbpedia.org/ontology/Mammal', 'http://dbpedia.org/ontology/Bird', 'http://dbpedia.org/ontology/Mollusca', 'http://dbpedia.org/ontology/Arachnid', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Amphibian', 'http://dbpedia.org/ontology/Insect'}"
